time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,reference_progress,pitch_angle
0.36000000,-6.69469999,-5.09788776,1.67792034,0.69168009,0.50312137,-0.13546441,0.01018987,-0.00620902,0.00152095,-0.67452891,0.23257166,-0.12239296,0.68988487,4.22037036,3.33247967,0.05911891,11,0.00000000
0.43000000,-6.63184030,-5.06171095,1.66857431,1.00250915,0.50016539,-0.15582445,0.01018987,-0.00620902,0.00152095,-0.66702951,0.04376096,-0.09134449,0.73811435,4.56550440,3.68552515,-1.03980020,11,0.00000000
0.49000000,-6.56913193,-5.03563924,1.65752331,1.05097030,0.37112070,-0.19296793,0.01018987,-0.00620902,0.00152095,-0.62131889,-0.12675050,-0.07115549,0.76995717,4.22997949,3.79006378,-1.52600152,11,0.00000000
0.56000000,-6.50160740,-5.01999270,1.64425278,0.86072671,0.10001401,-0.18701541,0.01018987,-0.00620902,0.00152095,-0.54373604,-0.28496408,-0.04447629,0.78814241,3.27761449,2.32716563,-1.58085905,11,0.00000000
0.63000000,-6.45651594,-5.02510086,1.62951005,0.46299697,-0.19912964,-0.24093478,0.01018987,-0.00620902,0.00152095,-0.47483206,-0.35890792,-0.01416948,0.80344188,1.74690768,0.20596934,-1.29480330,11,0.00000000
0.69000000,-6.44242891,-5.04486673,1.61170639,0.07117986,-0.41593125,-0.34041270,0.01018987,-0.00620902,0.00152095,-0.43616564,-0.35896832,0.00694100,0.82513823,0.54023969,-1.19989969,-0.99063570,11,0.00000000
0.76000000,-6.45475296,-5.08190149,1.58294351,-0.35231620,-0.60417207,-0.45946169,0.01018987,-0.00620902,0.00152095,-0.41320260,-0.30249341,0.02185088,0.85865237,-0.53167175,-2.29907478,-0.64120836,11,0.00000000
0.83000000,-6.49351051,-5.12942863,1.54770758,-0.68969488,-0.72585441,-0.52618172,0.01018987,-0.00620902,0.00152095,-0.40428546,-0.20928974,0.02709431,0.88995335,-1.10080273,-2.78457286,-0.36896944,11,0.00000000
0.89000000,-6.54219547,-5.17506244,1.51586703,-0.88523366,-0.77879653,-0.52706032,0.01018987,-0.00620902,0.00152095,-0.40062617,-0.11960814,0.02690643,0.90800254,-1.22985427,-2.76277034,-0.21241299,11,0.00000000
0.96000000,-6.60913695,-5.23010209,1.48074966,-0.99073198,-0.78363485,-0.47711760,0.02595518,-0.01572210,0.00388137,-0.39663301,-0.02325065,0.02460546,0.91735284,-1.05773094,-2.25458215,-0.10081016,15,0.00000000
1.03000000,-6.67850291,-5.28342104,1.44979995,-0.97634037,-0.73987564,-0.41885041,0.05903229,-0.03548059,0.00884939,-0.39324590,0.04779557,0.02085357,0.91795336,-0.76985311,-1.41612213,-0.00203884,20,0.00000000
1.09000000,-6.73461587,-5.32582238,1.42584844,-0.90006506,-0.68156409,-0.38822293,0.09698604,-0.05790962,0.01456876,-0.39306402,0.08186362,0.01537410,0.91573067,-0.49186706,-0.60576727,0.10546446,24,0.00000000
1.15000000,-6.78508192,-5.36453175,1.40312417,-0.79706575,-0.61945201,-0.37365528,0.14516493,-0.08607911,0.02185253,-0.39681067,0.09278512,0.00801131,0.91316375,-0.26552859,0.00442097,0.22322516,28,0.00000000
1.23000000,-6.84243902,-5.41076369,1.37358442,-0.65665862,-0.54886652,-0.36708312,0.21896340,-0.12865552,0.03305413,-0.40771653,0.08122437,-0.00332768,0.90948269,-0.02180524,0.58183000,0.37688437,33,0.00000000
1.29000000,-6.87861534,-5.44238646,1.35166612,-0.56713826,-0.51399037,-0.36384934,0.26980975,-0.15761549,0.04080110,-0.41965695,0.06167140,-0.01215822,0.90550365,0.06354181,0.75412239,0.48780210,36,0.00000000
1.36000000,-6.91498667,-5.47755347,1.32646087,-0.48799393,-0.49745917,-0.35652299,0.32498270,-0.18870463,0.04923339,-0.43646879,0.03572984,-0.02144754,0.89875379,0.11331838,0.73640644,0.57746066,39,0.00000000
1.43000000,-6.94691160,-5.51257356,1.30192916,-0.43558416,-0.50556515,-0.34558411,0.38391513,-0.22152810,0.05827018,-0.45526444,0.01351381,-0.02837877,0.88980128,0.10413381,0.56069555,0.64141941,42,0.00000000
1.48000000,-6.96792285,-5.53835021,1.28488925,-0.41115379,-0.52330225,-0.33768506,0.44599311,-0.25566792,0.06782326,-0.46982280,0.00194514,-0.03207628,0.88217564,0.05989973,0.39151402,0.69344640,45,0.00000000
1.56000000,-6.99956339,-5.58202644,1.25842351,-0.38480580,-0.56540344,-0.32568739,0.51057116,-0.29069293,0.07779923,-0.49516946,-0.00771950,-0.03594116,0.86801835,-0.01592184,0.12516238,0.76350564,48,0.00000000
1.63000000,-7.02571984,-5.62331899,1.23598912,-0.36509734,-0.60866040,-0.31684475,0.57698578,-0.32616753,0.08810150,-0.51937170,-0.00856538,-0.03824939,0.85364902,-0.09792601,-0.03100674,0.83582745,52,0.00000000
1.69000000,-7.04693790,-5.66116058,1.21722792,-0.34471386,-0.64628405,-0.30976895,0.64456748,-0.36165937,0.09863204,-0.54150224,-0.00527513,-0.03986960,0.83973681,-0.13940419,-0.12461001,0.88663579,54,0.00000000
1.76000000,-7.06985283,-5.70806243,1.19586268,-0.31292875,-0.68718030,-0.30189944,0.73534460,-0.40828080,0.11285884,-0.56843677,0.00111332,-0.04149403,0.82167916,-0.18166407,-0.15966055,0.94619004,58,0.00000000
1.83000000,-7.09012613,-5.75764124,1.17502958,-0.27055712,-0.72341816,-0.29440509,0.80308918,-0.44219823,0.12354410,-0.59650494,0.00803514,-0.04399466,0.80136244,-0.19640278,-0.14669024,1.00637185,61,0.00000000
1.89000000,-7.10482790,-5.80201843,1.15760611,-0.22578677,-0.75067095,-0.28753271,0.86985241,-0.47479449,0.13413924,-0.62087463,0.01334167,-0.04608613,0.78244026,-0.18189332,-0.11562897,1.03251350,64,0.00000000
1.96000000,-7.11825251,-5.85570573,1.13779286,-0.16508114,-0.77875411,-0.27974244,0.95633002,-0.51559622,0.14797363,-0.64939577,0.01756889,-0.04963179,0.75862583,-0.17808320,-0.03089147,1.07934817,68,0.00000000
2.03000000,-7.12710821,-5.91130057,1.11852006,-0.09652419,-0.80597270,-0.27201421,1.01857482,-0.54379014,0.15802284,-0.67804320,0.01910756,-0.05522745,0.73269519,-0.16832702,0.05040713,1.11937502,71,0.00000000
2.09000000,-7.13066844,-5.96053284,1.10244279,-0.03211060,-0.83130277,-0.26499928,1.07802217,-0.56960540,0.16770703,-0.70213056,0.01868435,-0.06076744,0.70920441,-0.14738681,0.09596953,1.12591316,74,0.00000000
2.16000000,-7.12971653,-6.02003580,1.08424509,0.04859454,-0.86468098,-0.25612697,1.15215769,-0.59990320,0.17993170,-0.72884908,0.01679646,-0.06647702,0.68123249,-0.08721846,0.08246525,1.09080221,78,0.00000000
2.23000000,-7.12294856,-6.08202510,1.06669394,0.13320012,-0.90171854,-0.24656809,1.20339875,-0.61926680,0.18850409,-0.75354284,0.01409049,-0.07092092,0.65341019,-0.05863911,0.08228935,1.04847070,81,0.00000000
2.29000000,-7.11235231,-6.13732022,1.05221282,0.20786830,-0.93613261,-0.23746447,1.25052041,-0.63556362,0.19650500,-0.77310651,0.01135766,-0.07458219,0.62977363,-0.06306067,0.11260502,1.01625015,84,0.00000000
2.36000000,-7.09422521,-6.20458023,1.03602354,0.29759591,-0.97983175,-0.22675117,1.29323367,-0.64866369,0.20388769,-0.79397134,0.00830607,-0.07796668,0.60287786,-0.02472360,0.03533454,0.93879206,87,0.00000000
2.43000000,-7.06976625,-6.27496834,1.02059848,0.38830922,-1.02484930,-0.21528289,1.34292239,-0.66099851,0.21270236,-0.81245139,0.00600803,-0.07908237,0.57760940,-0.02137255,0.01863353,0.86810786,91,0.00000000
2.49000000,-7.04374231,-6.33780755,1.00806391,0.46621797,-1.06335455,-0.20418848,1.37450900,-0.66632905,0.21850139,-0.82662779,0.00431541,-0.08003546,0.55701185,-0.02907213,0.02544707,0.81349490,94,0.00000000
2.56000000,-7.00743874,-6.41404932,0.99432979,0.55820891,-1.10867169,-0.19009107,1.40108637,-0.66827723,0.22357845,-0.84142084,0.00238347,-0.08237104,0.53406021,-0.04529120,0.05308812,0.75756902,97,0.00000000
2.63000000,-6.96461909,-6.49349456,0.98158433,0.65202452,-1.15459391,-0.17594111,1.42257945,-0.66685730,0.22791766,-0.85444249,0.00096426,-0.08405500,0.51270055,-0.04428228,0.04186267,0.68747636,100,0.00000000
2.69000000,-6.92265210,-6.56414054,0.97145338,0.73342693,-1.19366201,-0.16371342,1.43895899,-0.66211306,0.23150987,-0.86430267,0.00009929,-0.08499687,0.49573826,-0.03483348,0.00113155,0.63064390,103,0.00000000
2.76000000,-6.86749260,-6.64948307,0.96058406,0.82898405,-1.23811779,-0.14896549,1.45287481,-0.65074354,0.23513362,-0.87443869,-0.00058238,-0.08560837,0.47752262,-0.03313312,-0.00832599,0.56773217,107,0.00000000
2.83000000,-6.80563745,-6.73787122,0.95075211,0.92456315,-1.28080928,-0.13429987,1.45744961,-0.63856459,0.23698267,-0.88331557,-0.00085441,-0.08509716,0.46098953,-0.01221473,-0.08026745,0.50796576,110,0.00000000
2.89000000,-6.74733791,-6.81592442,0.94313232,1.00514354,-1.31492479,-0.12167072,1.45711467,-0.62339562,0.23809876,-0.89004279,-0.00083285,-0.08390232,0.44808876,-0.01460136,-0.06243027,0.46593797,113,0.00000000
2.96000000,-6.67327544,-6.90946527,0.93522950,1.09748184,-1.35194835,-0.10624771,1.45201138,-0.60538505,0.23849814,-0.89698195,-0.00085505,-0.08275805,0.43425079,-0.01614159,-0.04818622,0.42256116,116,0.00000000
3.03000000,-6.59280777,-7.00549864,0.92842084,1.18837469,-1.38657049,-0.09091136,1.44231291,-0.58469941,0.23820190,-0.90308378,-0.00092554,-0.08186885,0.42158785,-0.01010834,-0.06559142,0.38233681,120,0.00000000
3.09000000,-6.51882853,-7.08966767,0.92341665,1.26467974,-1.41419653,-0.07795040,1.42258617,-0.55327431,0.23676952,-0.90775323,-0.00094303,-0.08079895,0.41164878,-0.00888952,-0.05256121,0.35331842,123,0.00000000
3.16000000,-6.42679572,-7.18988197,0.91861283,1.35221829,-1.44454299,-0.06138388,1.40299417,-0.52707821,0.23495620,-0.91257292,-0.00131194,-0.08073572,0.40086244,-0.01604716,0.00980581,0.32628402,126,0.00000000
3.23000000,-6.32862422,-7.29220618,0.91500695,1.44031847,-1.47483556,-0.04525080,1.37957328,-0.49886202,0.23254699,-0.91681843,-0.00204425,-0.08215677,0.39075574,-0.00420501,-0.06890481,0.30055212,129,0.00000000
3.29000000,-6.23958706,-7.38157935,0.91268936,1.51496007,-1.49989227,-0.03380732,1.35259762,-0.46884292,0.22957889,-0.92026065,-0.00198486,-0.08095821,0.38283439,-0.00300808,-0.07877720,0.27773629,132,0.00000000
3.36000000,-6.13011500,-7.48767759,0.91096817,1.60055096,-1.52744188,-0.01746110,1.32235587,-0.43724342,0.22609136,-0.92381698,-0.00229253,-0.08112521,0.37413317,-0.01504920,0.00865698,0.26212132,136,0.00000000
3.43000000,-6.01464685,-7.59568992,0.91040666,1.68641737,-1.55476705,-0.00105107,1.27747290,-0.39304238,0.22070523,-0.92701120,-0.00286104,-0.08237119,0.36586477,-0.01680652,0.02611057,0.24737344,139,0.00000000
3.49000000,-5.91090325,-7.68978128,0.91067172,1.75918229,-1.57750423,0.00818739,1.24079114,-0.35863362,0.21616959,-0.92972996,-0.00256186,-0.08051141,0.35932375,-0.00050867,-0.10148553,0.22669605,142,0.00000000
3.56000000,-5.78448511,-7.80116604,0.91177229,1.84058006,-1.60106824,0.02181375,1.20187040,-0.32339597,0.21125804,-0.93268822,-0.00201017,-0.07785440,0.35217516,-0.00387663,-0.08401551,0.21462804,145,0.00000000
3.63000000,-5.65250639,-7.91408544,0.91387242,1.91864523,-1.62185151,0.03611231,1.14703894,-0.27550305,0.20420231,-0.93538220,-0.00162832,-0.07614787,0.34533894,-0.00921765,-0.05064998,0.20412767,149,0.00000000
3.69000000,-5.53512835,-8.01195628,0.91637823,1.98272169,-1.63747343,0.04582165,1.11857377,-0.25130947,0.20048723,-0.93762316,-0.00092440,-0.07338354,0.33981878,-0.00467461,-0.10393308,0.19143262,151,0.00000000
3.76000000,-5.39349650,-8.12719160,0.92005740,2.05306723,-1.65223839,0.05773105,1.06000243,-0.20273246,0.19274902,-0.94008201,0.00002461,-0.06997451,0.33369055,-0.00690504,-0.09555512,0.18236414,155,0.00000000
3.83000000,-5.24712695,-8.24331565,0.92455789,2.11874605,-1.66340420,0.06896841,1.01498951,-0.16636136,0.18672720,-0.94237800,0.00098714,-0.06663757,0.32784471,-0.00492178,-0.10885043,0.17268446,158,0.00000000
3.89000000,-5.11815808,-8.34336212,0.92899914,2.17082398,-1.66988053,0.07770634,0.96937107,-0.13024777,0.18056619,-0.94426335,0.00198286,-0.06305521,0.32308953,-0.00407455,-0.10848629,0.16483028,161,0.00000000
3.96000000,-4.96393338,-8.46043684,0.93486981,2.22683250,-1.67397347,0.08857982,0.92342587,-0.09456254,0.17430751,-0.94628315,0.00289379,-0.05989712,0.31772969,-0.00779054,-0.07115103,0.15938024,164,0.00000000
4.03000000,-4.80595809,-8.57767729,0.94144757,2.27853363,-1.67503731,0.09781345,0.87741879,-0.05946298,0.16799103,-0.94821443,0.00389750,-0.05633051,0.31257171,-0.00266709,-0.11309917,0.15169001,168,0.00000000
4.09000000,-4.66781527,-8.67812860,0.94759943,2.31895982,-1.67326753,0.10598603,0.81640808,-0.01381917,0.15954433,-0.94976809,0.00467859,-0.05358197,0.30829801,-0.00435240,-0.08647140,0.14799624,171,0.00000000
